id,gold,pred,text,votes,top_votes,K,confidence,correct
11,MeanOfTransportation,Company,Aeromarine 40.  The Aeromarine 40F was an American two-seat flying-boat training aircraft produced for the US Navy and built by the Aeromarine Plane and Motor Company of Keyport New Jersey. Fifty out of an original order for 200 were delivered before the end of World War I with the remainder cancelled due to the armistice. The aircraft was a biplane with a pusher propeller. The pilot and instructor sat side by side.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,0
12,Company,Company,Murfin Music International.  Murfin Music International and Murfin Media are companies run by Muff Murfin and are based at The Old Smithy Studios in Kempsey Worcestershire England.Murfin owns several radio stations in the UK and also hires time at its studios to produce jingles for radio. Murfin with his then music partner Colin Owen were billed as the M and O Band and reached #16 in the UK Singles Chart in March 1976 with Let's Do the Latin Hustle.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
13,Animal,Animal,Lycaenidae.  Lycaenidae is the second-largest family of butterflies (behind the Brush-footed butterflies) with over 5000 species worldwide whose members are also called gossamer-winged butterflies. They constitute about 30% of the known butterfly species.The family is traditionally divided into the subfamilies of the blues (Polyommatinae) the coppers (Lycaeninae) the hairstreaks (Theclinae) and the harvesters (Miletinae); others include the Lipteninae Liphyrinae Curetinae and Poritiinae.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 1, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
14,WrittenWork,WrittenWork,Investors Chronicle.  The Investors Chronicle is a weekly magazine in the United Kingdom for private investors and is published by the Financial Times Group. The magazine publishes articles about global markets and sectors and news on corporate actions such as takeovers and share issues. It was established in 1860 and has been considered a highly influential magazine.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 1}",1,1,1.0,1
15,MeanOfTransportation,Building,HMS Enterprise (A71).  The ninth HMS Enterprise (A 71) of the Royal Navy was an Echo class inshore survey ship built by M.W. Blackmore & Sons of Bideford and commissioned in 1959.With her sister ships HMS Echo and HMS Egeria Enterprise's career was spent in hydrographic surveys of the seas sandbanks and coastlines of the East Coast and Eastern English Channel.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,0
16,Building,Building,Worrall Covered Bridge.  The Worrall Covered Bridge (also called the Woralls Bridge) is a wooden covered bridge in Rockingham Vermont United States. Built in 1868 by Sanford Granger the bridge is a lattice style with an 87 foot span across the Williams River. The bridge is listed on the National Register of Historic Places.The Worrall bridge includes one rare feature — a wooden ramp leading up to the northwest entrance. It is located on Williams Road a dirt road a short distance north of Vermont Route 103.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
17,WrittenWork,WrittenWork,Jacob's Rescue.  Jacob's Rescue is a 1994 children's book by Malka Drucker and Michael Halperin based on a true story that takes place in Warsaw Poland during the holocaust. A poor Polish family rescues Jacob and his brothers from the tyranny of the Nazis where they face the reality of life under the harshest conditions. They are in the current day and his daughter ask about the holocaust Jacob had a flashback of this time.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 1}",1,1,1.0,1
18,Film,Film,Sinbad (1993 film).  Sinbad is a 1992 animated film originally released on May 18 1992 and based on the classic Arabian Nights tale Sinbad the Sailor. Like all other Golden Films productions the film features a single theme song As brave as a man can be written and composed by Richard Hurwitz and John Arrias.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 1, ""WrittenWork"": 0}",1,1,1.0,1
19,MeanOfTransportation,Building,USS Meredith (DD-890).  USS Meredith (DD-890) a Gearing-class destroyer was the fourth ship of the United States Navy to be named for Jonathan Meredith USMC a sergeant who saved the life of Lieutenant John Trippe of Vixen during the Barbary Wars. She was laid down at the Consolidated Steel Corporation at Orange Texas on 27 January 1945; launched on 28 June 1945 sponsored by Miss Juliette S. Kopper great-great-great-grandniece of Sergeant Meredith; and commissioned on 31 December 1945 with Commander W. B.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,0
20,EducationalInstitution,EducationalInstitution,Woodham Academy.  Woodham Academy is a school and former sixth form college in Newton Aycliffe County Durham England. The school was previously known as Woodham Community Technology College (from 2000 to 2012) and was initially opened as Woodham Comprehensive School in 1970.,"{""Company"": 0, ""EducationalInstitution"": 1, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
21,Village,Village,Kalkushk.  Kalkushk (Persian: كل كوشك‎ also Romanized as Kalkūshk Kalkūshak and Kal Kūshk) is a village in Osmanvand Rural District Firuzabad District Kermanshah County Kermanshah Province Iran. At the 2006 census its population was 41 in 10 families.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 1, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
22,Building,Building,Mount Calvary United Methodist Church (New York City).  Mount Calvary United Methodist Church is a Methodist church in Washington Heights Manhattan New York City at 116 Edgecombe Avenue. The congregation occupies the former Lutheran church building of The Evangelical Lutheran Church of the Atonement which was established in 1896 and built in 1897 as a mission church of St. John's Evangelical Lutheran Church.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 1, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
23,Animal,Animal,Trichiinae.  The Trichiinae are a subfamily of the scarab beetle family (Scarabaeidae) but occasionally they are included in the Cetoniidae as tribe Trichiini. The conspicuous bee beetles (Trichius) are probably the best-known genus in Europe.They vary in size from 6 to 65 mm [1] and can be distinguished from the Cetoniidae by having covered epimeres and lateral edges of the elytra which are not trimmed.The adults feed on sugar-rich secretions of stems leaves fruits and flowers of different plants.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 1, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
24,Film,Film,Chirosathi.  Chirosathi (Bengali: চিরসাথী ) is a Bengali Drama movie that was released in 2008 directed by Haranath Chakraborty. The movie featured Hiran Chatterjee and Koyel Mullick.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 1, ""WrittenWork"": 0}",1,1,1.0,1
25,Village,Village,Tomrefjord.  Tomra or Tomrefjord is a village located in Vestnes Municipality in Møre og Romsdal county Norway. It is located just south of the village of Vik at the end of the Tomrefjorden. The village of Fiksdal lies 8 kilometres (5.0 mi) to the northwest.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 1, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
26,Film,Film,The Ghouls.  The Ghouls (also known as Cannibal Dead: The Ghouls) is a 2003 independent American horror film that was written and directed by Chad Ferrin. The film described as a no-budget horror opus and a vicious cross between Paparazzi and Kolchak: The Night Stalker was independently produced and shot guerrilla style in Los Angeles on Mini DV for $15000.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 1, ""WrittenWork"": 0}",1,1,1.0,1
27,Film,Film,Reunion in France.  Reunion in France (1942) is a Metro-Goldwyn-Mayer feature film starring Joan Crawford John Wayne and Phillip Dorn in a story about a woman in occupied France who learning her well-heeled lover has Nazi connections aids a downed American flyer. The film was directed by Jules Dassin and Ava Gardner has a tiny role as a Parisian shopgirl.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 1, ""WrittenWork"": 0}",1,1,1.0,1
28,Album,Album,Greatest Hits 1982–1989.  Greatest Hits 1982–1989 is the third greatest hits album and twentieth album overall by the American band Chicago released by Full Moon/Reprise Records on November 21 1989. Covering the era that stretched from 1982's Chicago 16 to Chicago 19 in 1988 the set is also balanced by the appearances of both Peter Cetera and his replacement Jason Scheff.An equivalent collection entitled The Heart of...,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 1, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
29,OfficeHolder,OfficeHolder,Arthur H. Vandenberg.  Arthur Hendrick Vandenberg (March 22 1884 – April 18 1951) was a Republican Senator from the U.S. state of Michigan who participated in the creation of the United Nations.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 1, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
30,Athlete,Athlete,Manabu Mima.  Manabu Mima (美馬 学 born September 19 1986) is a Japanese professional baseball player. A pitcher he plays for the Tohoku Rakuten Golden Eagles of the Pacific League in Nippon Professional Baseball.Mima attended Fujishiro High School and Chuo University. Mima pitched for Tokyo Gas in the industrial leagues after college. The Rakuten Golden Eagles chose him in the second round of the 2010 draft. He then joined the Japanese national baseball team for the 2010 Asian Games.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 1, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
31,Animal,Animal,Phtheochroa aegrana.  Phtheochroa aegrana is a species of moth of the Tortricidae family. It is found in North America where it has been recorded from Alberta Oregon California and New Mexico.The wingspan is 14-16 mm. Adults have been recorded on wing from May to August and in January.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 1, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
32,Plant,Plant,Pseuderia.  Pseuderia is a genus of orchids consisting of about 19 species distributed from the Moluccas through New Guinea to Samoa and Fiji. The genus has its center of diversity in New Guinea.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 1, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
33,OfficeHolder,OfficeHolder,Jacek Cichocki.  Jacek Cichocki (born 17 December 1971) is an independent Polish politician and is the current chief of the chancellery of the prime minister. Previously between November 2011 to February 2013 Cichocki served as the minister of interior in the second cabinet of Prime Minister Donald Tusk. As a senior member of the premier's executive office Cichocki is a member of the Cabinet of Poland.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 1, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
34,Athlete,Athlete,Johnny Oduya.  David Johnny Oduya (born October 1 1981) is a Swedish professional ice hockey defenceman of partial Kenyan Luo descent who currently plays for the Chicago Blackhawks of the National Hockey League.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 1, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
35,WrittenWork,Company,WildBird.  WildBird is a bimonthly magazine about birding or birdwatching in North America Central America and South America. It is published by BowTie Inc.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,0
36,Plant,Plant,Paeonia emodi.  Paeonia emodi or Himalayan peony takes its name from the Latin for Himalaya emodi montes where it grows in the western part of the mountain range. It is among the tallest of the Peony species and while cold-hardy it grows better in warm temperate climates. It is a parent of the popular hybrid White Innocence which reaches 1.5 m.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 1, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
37,WrittenWork,WrittenWork,Ramtanu Lahiri O Tatkalin Bangasamaj.  Ramtanu Lahiri O Tatkalin Bangasamaj (Ramtanu Lahiri and Contemporary Bengali Society/The Life and Times of Ramtanu Lahiri) is a book authored by Shibnath Shastri. It is considered one of the most important historical documents relating to the period commonly known as the Bengali renaissance.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 1}",1,1,1.0,1
38,Company,Company,Wera Tools.  Wera Tools is the popular name for tool manufacturer Wera Werk Hermann Werner GmbH & Co. KG of Wuppertal Germany. It was founded in 1936.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
39,NaturalPlace,NaturalPlace,Șoimuș River (Someș).  The Soimuș River is a tributary of the Someş River in Romania.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 1, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
40,NaturalPlace,NaturalPlace,La Villuerca.  La Villuerca also known as Risco de la Villuerca Pico la Villuerca and Pico de las Villuercas is the highest peak of the Sierra de Villuercas range also known as Sierra de Guadalupe. It is located 6 km west of Guadalupe town in Las Villuercas comarca Cáceres Province Extremadura Spain and is the highest point of the greater Montes de Toledo system.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 1, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
41,WrittenWork,WrittenWork,Keeper (Appelt novel).  Keeper is a 2010 novel written by Kathi Appelt. This story is about a young girl who searches for her mermaid mother Meggie Marie.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 1}",1,1,1.0,1
42,Company,Company,Black Earth Farming.  Black Earth Farming is a public investment-run agriculture business based in Russia. It controls more than 3000 square kilometres (1200 sq mi) of land in the Black Earth Region. Their business goal has been described as the acquisition of cheap neglected but fertile land in the fertile Black Earth regions of Russia by CEO Richard Warburton. It is sometimes described as a land grab company.They have a contract with PepsiCo growing sugar beets and potatoes for them.,"{""Company"": 1, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
43,Village,Village,Kadamaha.  Kadamaha is a village development committee in Morang District in the Kosi Zone of south-eastern Nepal. At the time of the 1991 Nepal census it had a population of 5182 people living in 1029 individual households.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 0, ""Village"": 1, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
44,NaturalPlace,NaturalPlace,Blancanus (crater).  Blancanus is a lunar impact crater located in the rugged southern region of the Moon to the southwest of the walled plain Clavius. To the northwest lies the comparably sized crater Scheiner and south-southwest of Blancanus is the worn Klaproth.The outer rim of Blancanus is considerably less worn than that of Scheiner crater to the northwest and the edge is still fairly well defined and it has a terraced structure on the interior.,"{""Company"": 0, ""EducationalInstitution"": 0, ""Artist"": 0, ""Athlete"": 0, ""OfficeHolder"": 0, ""MeanOfTransportation"": 0, ""Building"": 0, ""NaturalPlace"": 1, ""Village"": 0, ""Animal"": 0, ""Plant"": 0, ""Album"": 0, ""Film"": 0, ""WrittenWork"": 0}",1,1,1.0,1
